교원의 주당 창의적체험활동 수업시수,,,
1) 조사기준일 : 해당연도 4월 1일,,,
"2) 교원(기간제 포함)은 수석교사, 보직교사, 교사, 특수교사, 실기교사이며, 휴직교원은 제외됨",,,
연도,시도,학교급,교원의 주당 창의적체험활동 수업시수
2012,서울,초등학교,1.22773
2012,서울,중학교,0.76502
2012,서울,고등학교,0.61068
2012,서울,전체,0.89541
2013,서울,초등학교,2.02041
2013,서울,중학교,1.05075
2013,서울,고등학교,0.85654
2013,서울,전체,1.36703
2014,서울,초등학교,2.02675
2014,서울,중학교,1.18103
2014,서울,고등학교,1.53852
2014,서울,전체,1.63813
2015,서울,초등학교,1.9117
2015,서울,중학교,1.06988
2015,서울,고등학교,1.56201
2015,서울,전체,1.57402
2016,서울,초등학교,1.88886
2016,서울,중학교,1.04801
2016,서울,고등학교,1.58189
2016,서울,전체,1.56607
2017,서울,초등학교,2.08489
2017,서울,중학교,1.00925
2017,서울,고등학교,1.59483
2017,서울,전체,1.63918
2018,서울,초등학교,2.05222
2018,서울,중학교,0.96235
2018,서울,고등학교,1.6102
2018,서울,전체,1.61744
2019,서울,초등학교,2.06003
2019,서울,중학교,0.90062
2019,서울,고등학교,1.66069
2019,서울,전체,1.62121
2020,서울,초등학교,1.97544
2020,서울,중학교,0.79296
2020,서울,고등학교,1.54737
2020,서울,전체,1.52156
2021,서울,초등학교,1.9322
2021,서울,중학교,0.766
2021,서울,고등학교,1.61854
2021,서울,전체,1.52227
2022,서울,초등학교,1.91702
2022,서울,중학교,0.76655
2022,서울,고등학교,1.59203
2022,서울,전체,1.50811
