"시점","응답자유형별(1)",응답자유형별(2),있다,없다
"2015","전체",소계,72.6,27.4
"2015","성별",남자,72.0,28.0
"2015","성별",여자,73.2,26.8
"2015","학교유형별",초등학교,71.3,28.7
"2015","학교유형별",중학교,72.3,27.7
"2015","학교유형별",일반/특목/자율고,73.5,26.5
"2015","학교유형별",특성화고,75.0,25.0
"2015","지역규모별",대도시,77.5,22.5
"2015","지역규모별",중소도시,67.3,32.7
"2015","지역규모별",읍면지역,72.4,27.6
"2015","가족유형별",양부모가정,72.9,27.1
"2015","가족유형별",한부모가정,69.2,30.8
"2015","가족유형별",조손가정,73.9,26.1
"2015","가족유형별",기타,61.0,39.0
"2015","학업성적별",상,77.4,22.6
"2015","학업성적별",중,71.5,28.5
"2015","학업성적별",하,67.9,32.1
"2015","경제적수준별",상,74.7,25.3
"2015","경제적수준별",중,70.2,29.8
"2015","경제적수준별",하,70.4,29.6
