시점,응답자유형별(1),응답자유형별(2),있다,없다
2016,전체,소계,73.6,26.4
2016,성별,남자,72.5,27.5
2016,성별,여자,74.8,25.2
2016,학교유형별,초등학교,76,24
2016,학교유형별,중학교,75.4,24.6
2016,학교유형별,일반계고,70.6,29.4
2016,학교유형별,특성화계고,68.6,31.4
2016,지역규모별,대도시,78.4,21.6
2016,지역규모별,중소도시,70.3,29.7
2016,지역규모별,읍면지역,70.7,29.3
2016,가족유형별,양부모가정,73.7,26.3
2016,가족유형별,한부모가정,73,27
2016,가족유형별,조손가정,79.1,20.9
2016,가족유형별,기타,67.5,32.5
2016,학업성적별,상,77.1,22.9
2016,학업성적별,중,74.7,25.3
2016,학업성적별,하,67.2,32.8
2016,경제적수준별,상,76.1,23.9
2016,경제적수준별,중,70.6,29.4
2016,경제적수준별,하,71.6,28.4
