Code,Year,Sum
11230,2021,2383
11230,2020,2361
11230,2019,2279
11230,2018,2263
11230,2017,2246
11230,2015,2196
11230,2014,2143
31010,2018,2091
11230,2016,2078
31010,2017,2057
31010,2019,2052
35010,2016,2051
31010,2020,2050
31010,2016,2048
35010,2021,2042
31010,2021,2031
35010,2015,2026
35010,2017,2024
11230,2013,2018
11230,2012,2014
31100,2020,2009
35010,2018,2006
31100,2021,2003
31100,2019,2000
31100,2017,2000
31100,2018,2000
35010,2013,1996
38110,2014,1986
35010,2020,1986
35010,2019,1973
31190,2020,1968
31010,2015,1967
35010,2012,1967
11230,2011,1965
38110,2021,1959
31020,2019,1958
31020,2018,1954
35010,2011,1953
38110,2015,1952
31020,2020,1950
38110,2016,1947
38110,2017,1946
31010,2011,1945
38110,2020,1943
38110,2018,1941
31100,2016,1931
31190,2019,1924
38110,2019,1922
31190,2021,1921
31020,2017,1917
31020,2021,1894
31190,2018,1875
31100,2015,1871
38110,2011,1852
38110,2012,1851
31010,2014,1841
31010,2013,1834
31100,2013,1832
31010,2012,1824
38110,2013,1817
35010,2014,1810
31020,2016,1793
31100,2011,1786
31190,2017,1778
31100,2012,1775
31020,2015,1731
31100,2014,1725
31190,2016,1712
31190,2015,1690
31020,2013,1662
31020,2012,1653
31190,2014,1641
31240,2021,1631
31020,2011,1624
31020,2014,1606
31190,2013,1591
31190,2012,1588
31190,2011,1544
31240,2020,1537
33040,2016,1467
33040,2015,1458
33040,2014,1456
33040,2017,1455
33040,2021,1440
33040,2018,1413
33010,2011,1411
33040,2019,1403
33040,2020,1400
31240,2019,1399
33010,2012,1372
33010,2013,1349
31220,2015,1337
31050,2012,1323
31050,2011,1321
31050,2020,1267
31050,2015,1267
31240,2018,1265
34010,2021,1264
31050,2018,1260
31050,2016,1260
31050,2017,1257
31050,2021,1256
34010,2020,1253
31050,2019,1251
34010,2019,1245
31050,2013,1226
34010,2018,1217
34010,2017,1188
31050,2014,1185
11220,2015,1181
11240,2012,1176
11240,2011,1172
38070,2017,1155
38070,2016,1150
11220,2020,1148
11220,2021,1146
38070,2015,1145
31240,2017,1143
38070,2019,1141
34010,2015,1138
38070,2011,1136
31090,2011,1134
31040,2012,1132
11220,2018,1130
38070,2020,1129
38070,2012,1128
38070,2021,1126
31040,2011,1122
31090,2012,1122
11220,2019,1119
38070,2018,1118
11240,2013,1118
11240,2019,1115
11240,2014,1115
31040,2016,1114
34010,2016,1113
11240,2016,1109
31040,2015,1108
26020,2017,1101
11240,2015,1100
31040,2017,1094
11240,2017,1093
26020,2018,1091
11220,2017,1090
31040,2014,1089
26020,2016,1087
11220,2016,1087
11220,2014,1085
31130,2021,1079
26020,2011,1078
11240,2020,1076
31040,2018,1073
34010,2011,1073
34010,2012,1069
31090,2013,1065
31090,2014,1065
11150,2018,1062
31090,2015,1062
31240,2016,1062
31130,2020,1059
26020,2012,1059
31040,2019,1056
34010,2013,1056
34010,2014,1056
11150,2017,1052
31040,2020,1052
11240,2018,1051
11220,2013,1050
11240,2021,1045
26020,2019,1045
26020,2015,1042
11150,2016,1039
11150,2019,1037
31040,2013,1032
11150,2015,1031
31090,2017,1025
26020,2014,1024
31090,2016,1014
38070,2014,1014
38070,2013,1012
26020,2020,1009
11220,2012,1008
11150,2020,1008
31090,2018,1005
22070,2021,1000
31040,2021,998
