"SGG 행정구역별",T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개)
"SGG 행정구역별",Y2011 2011,Y2012 2012,Y2013 2013,Y2014 2014,Y2015 2015,Y2016 2016,Y2017 2017,Y2018 2018,Y2019 2019,Y2020 2020,Y2021 2021
"11 서울특별시",13477,13688,13405,13671,13989,13974,14189,14080,14044,13992,13809
"11010 종로구",299,278,280,273,261,278,297,274,259,243,217
"11020 중구",144,142,135,129,126,127,128,119,118,109,91
"11030 용산구",161,166,166,162,163,165,175,158,155,154,137
"11040 성동구",287,274,262,262,275,279,295,314,293,289,290
"11050 광진구",427,450,420,438,446,429,442,430,406,405,426
"11060 동대문구",352,315,331,328,349,355,360,363,368,350,359
"11070 중랑구",354,330,321,198,297,306,288,273,276,262,257
"11080 성북구",449,484,466,455,433,453,457,464,450,439,451
"11090 강북구",254,254,248,234,227,233,227,218,209,206,210
"11100 도봉구",270,341,263,385,366,374,360,335,317,297,285
"11110 노원구",456,645,593,791,780,794,775,747,740,718,684
"11120 은평구",532,536,485,436,515,469,521,521,525,519,509
"11130 서대문구",343,330,319,319,301,351,342,345,346,348,342
"11140 마포구",574,582,558,577,565,603,616,644,683,689,692
"11150 양천구",923,969,973,987,1031,1039,1052,1062,1037,1008,979
"11160 강서구",673,677,667,671,706,708,713,707,693,694,697
"11170 구로구",426,393,407,390,393,411,431,427,406,394,386
"11180 금천구",228,213,214,212,209,210,215,222,224,212,208
"11190 영등포구",477,458,450,448,447,471,470,467,446,445,440
"11200 동작구",424,429,465,441,445,466,472,458,465,471,487
"11210 관악구",554,472,478,463,446,456,455,450,443,431,434
"11220 서초구",976,1008,1050,1085,1181,1087,1090,1130,1119,1148,1146
"11230 강남구",1965,2014,2018,2143,2196,2078,2246,2263,2279,2361,2383
"11240 송파구",1172,1176,1118,1115,1100,1109,1093,1051,1115,1076,1045
"11250 강동구",757,752,718,729,731,723,669,638,672,724,654
"21 부산광역시",5026,4859,4638,4529,4696,4708,4748,4666,4790,4938,5000
"21010 중구",71,69,67,66,63,63,66,58,57,87,56
"21020 서구",141,141,129,122,120,114,108,108,110,113,117
"21030 동구",101,83,81,76,79,79,81,70,73,69,68
"21040 영도구",118,108,98,95,93,86,86,81,80,75,76
"21050 부산진구",646,581,536,536,571,581,576,548,581,593,584
"21060 동래구",496,472,479,480,491,503,510,519,536,554,578
"21070 남구",368,343,320,317,319,321,326,325,340,350,353
"21080 북구",464,449,435,414,425,414,408,396,394,407,404
"21090 해운대구",645,684,620,612,643,656,656,637,660,673,691
"21100 사하구",528,525,510,484,472,451,455,440,430,418,419
"21110 금정구",401,377,380,365,376,392,390,395,391,394,394
"21120 강서구",31,40,46,56,74,88,128,158,185,223,251
"21130 연제구",298,280,282,292,284,291,280,283,292,300,302
"21140 수영구",340,339,308,265,315,293,294,275,275,275,269
"21150 사상구",259,244,226,209,202,194,191,181,171,175,177
"21310 기장군",119,124,121,140,169,182,193,192,215,232,261
"22 대구광역시",3746,3542,3639,3651,3639,3744,3815,3901,3948,3941,3968
"22010 중구",272,274,274,279,281,289,295,308,312,279,282
"22020 동구",336,363,357,342,357,362,372,384,397,398,408
"22030 서구",176,192,183,166,167,173,166,159,145,139,136
"22040 남구",181,119,150,153,149,140,130,127,126,123,110
"22050 북구",671,617,613,597,604,627,617,598,625,619,638
"22060 수성구",917,954,948,945,934,946,964,976,979,991,988
"22070 달서구",914,759,857,897,883,914,950,978,977,991,1000
"22310 달성군",279,264,257,272,264,293,321,371,387,401,406
"23 인천광역시",2831,3338,3198,3167,3209,3395,3585,3702,3747,3904,3897
"23010 중구",16,67,70,62,81,88,93,101,108,136,152
"23020 동구",10,54,47,46,47,49,45,47,44,43,40
"23030 남구",85,397,366,348,361,355,380,381,-,-,-
"23040 연수구",406,420,424,461,496,513,566,617,648,688,720
"23050 남동구",568,613,584,554,594,649,690,723,738,761,744
"23060 부평구",748,745,685,675,668,679,676,662,650,649,649
"23070 계양구",400,437,419,409,373,385,400,392,378,375,365
"23080 서구",552,559,556,559,536,623,682,726,763,816,804
"23090 미추홀구",-,-,-,-,-,-,-,-,367,382,371
"23310 강화군",46,42,43,49,49,50,49,49,47,50,48
"23320 옹진군",-,4,4,4,4,4,4,4,4,4,4
"24 광주광역시",2281,2038,3368,3497,3535,3534,3556,3402,3472,3439,3433
"24010 동구",161,159,319,314,312,296,307,262,284,285,289
"24020 서구",543,529,794,823,818,821,808,771,752,716,704
"24030 남구",355,299,481,503,523,537,543,554,573,599,616
"24040 북구",583,504,948,952,947,932,954,863,923,910,911
"24050 광산구",639,547,826,905,935,948,944,952,940,929,913
"25 대전광역시",2168,2167,2159,2086,2210,2235,2224,2223,2201,2198,2237
"25010 동구",252,251,240,229,236,229,225,214,211,216,219
"25020 중구",343,349,355,332,349,357,347,348,343,334,337
"25030 서구",848,833,843,815,864,865,867,885,871,868,890
"25040 유성구",446,459,458,462,500,523,530,532,537,549,569
"25050 대덕구",279,275,263,248,261,261,255,244,239,231,222
"26 울산광역시",2600,2535,2303,2351,2479,2542,2566,2586,2540,2503,2461
"26010 중구",492,453,403,393,437,451,448,459,453,452,444
"26020 남구",1078,1059,975,1024,1042,1087,1101,1091,1045,1009,960
"26030 동구",302,287,265,258,288,286,278,276,276,264,264
"26040 북구",352,350,315,320,346,348,360,372,377,391,418
"26310 울주군",376,386,345,356,366,370,379,388,389,387,375
"29 세종특별자치시",-,90,108,101,169,257,357,499,607,689,800
"31 경기도",18674,18530,18134,18074,20106,19465,20195,20781,21145,21716,21688
"31010 수원시",1945,1824,1834,1841,1967,2048,2057,2091,2052,2050,2031
"31020 성남시",1624,1653,1662,1606,1731,1793,1917,1954,1958,1950,1894
"31030 의정부시",663,658,671,659,661,675,708,715,718,738,712
"31040 안양시",1122,1132,1032,1089,1108,1114,1094,1073,1056,1052,998
