"항목","과목 및 유형",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"서  울 (%)","국  어",28.9,22.7,19.6,19.7,19.9,19.6,21.5,22.6,23.6,23.7,27.9
"서  울 (%)","영  어",54.7,50.0,50.2,48.3,47.0,45.0,46.3,48.2,51.6,49.9,57.6
"서  울 (%)","수  학",54.3,51.1,49.1,49.4,46.9,46.0,48.5,49.7,51.6,51.3,57.1
"서  울 (%)","사회, 과학",17.0,14.6,10.4,10.2,10.7,11.2,12.6,12.6,13.8,13.4,16.2
"서  울 (%)","컴퓨터",-,-,-,-,-,-,-,-,2.9,0.9,2.2
"서  울 (%)","제2외국어, 한문 등",-,-,-,-,-,-,-,-,6.5,4.4,5.2
"서  울 (%)","음  악",21.4,17.1,17.3,18.6,17.8,21.0,21.9,22.6,23.5,16.6,20.8
"서  울 (%)","미  술",7.9,7.0,9.0,8.7,8.4,10.1,11.0,12.6,12.5,8.5,14.1
"서  울 (%)","체  육",19.0,18.4,19.4,20.4,22.9,25.1,27.6,30.4,30.8,19.4,27.3
"광역시 (%)","국  어",24.6,20.8,18.6,17.2,15.8,16.7,18.3,19.9,20.9,19.5,23.9
"광역시 (%)","영  어",47.9,47.1,45.2,43.0,40.9,38.9,40.2,40.6,43.7,41.8,50.0
"광역시 (%)","수  학",50.6,48.7,46.9,45.4,42.9,42.7,43.8,45.2,47.9,44.6,51.8
"광역시 (%)","사회, 과학",16.6,12.7,11.7,10.1,9.6,9.9,11.7,12.3,11.9,11.1,14.4
"광역시 (%)","컴퓨터",-,-,-,-,-,-,-,-,2.5,0.8,2.0
"광역시 (%)","제2외국어, 한문 등",-,-,-,-,-,-,-,-,4.7,3.6,4.2
"광역시 (%)","음  악",15.1,15.1,14.6,14.0,14.7,17.4,17.9,17.3,17.7,12.3,17.1
"광역시 (%)","미  술",6.1,6.0,6.2,6.3,6.8,7.8,8.6,9.0,9.7,6.7,9.7
"광역시 (%)","체  육",14.5,14.9,15.0,15.4,18.4,20.9,24.5,24.6,26.5,17.8,24.0
"중소도시 (%)","국  어",25.6,23.2,19.9,18.6,17.4,17.8,18.2,19.6,21.3,19.7,24.7
"중소도시 (%)","영  어",50.4,47.4,44.7,43.9,41.3,39.5,39.6,41.5,44.5,41.4,50.2
"중소도시 (%)","수  학",50.9,48.8,46.5,46.1,42.9,42.7,43.2,44.5,47.9,44.7,50.9
"중소도시 (%)","사회, 과학",16.4,14.6,11.4,11.0,9.8,10.5,10.5,10.7,11.3,10.1,13.6
"중소도시 (%)","컴퓨터",-,-,-,-,-,-,-,-,2.2,1.0,1.6
"중소도시 (%)","제2외국어, 한문 등",-,-,-,-,-,-,-,-,5.8,3.9,4.3
"중소도시 (%)","음  악",18.3,15.0,16.1,15.7,15.8,17.8,18.1,17.9,19.8,12.5,17.2
"중소도시 (%)","미  술",6.6,5.4,6.8,6.8,6.2,7.7,8.3,9.1,10.5,6.4,9.6
"중소도시 (%)","체  육",17.4,14.0,16.9,18.1,19.3,22.9,24.4,26.4,28.0,17.9,25.0
"읍면지역 (%)","국  어",27.2,21.8,21.7,20.7,16.2,16.7,19.4,17.7,19.6,18.3,22.6
"읍면지역 (%)","영  어",41.7,35.8,32.7,33.8,30.9,30.8,32.5,32.1,36.1,32.6,40.1
"읍면지역 (%)","수  학",43.2,37.9,37.8,38.4,35.0,35.0,37.2,35.9,39.9,36.5,43.8
"읍면지역 (%)","사회, 과학",19.1,13.3,12.9,12.0,8.4,10.2,11.2,9.8,12.3,9.9,12.8
"읍면지역 (%)","컴퓨터",-,-,-,-,-,-,-,-,1.5,0.6,1.3
"읍면지역 (%)","제2외국어, 한문 등",-,-,-,-,-,-,-,-,3.9,2.9,3.9
"읍면지역 (%)","음  악",16.6,13.9,11.6,13.5,13.0,15.4,15.7,13.7,14.7,9.9,14.8
"읍면지역 (%)","미  술",5.1,3.9,4.0,4.4,4.2,4.3,4.9,5.1,5.5,4.2,6.7
"읍면지역 (%)","체  육",13.7,12.2,12.9,15.4,14.2,17.5,18.3,18.9,19.2,15.3,20.3
