"항목","과목 및 유형",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"서  울 (만원)","국  어",2.7,2.4,2.3,2.3,2.3,2.5,3.0,3.2,3.5,4.1,4.8
"서  울 (만원)","영  어",10.8,10.1,11.3,11.2,11.2,10.7,11.1,12.0,13.0,13.7,15.7
"서  울 (만원)","수  학",9.6,10.4,10.4,10.8,10.6,10.8,11.7,11.9,12.6,14.1,15.5
"서  울 (만원)","사회, 과학",1.7,1.7,1.1,1.2,1.3,1.6,1.8,1.8,2.1,2.5,2.7
"서  울 (만원)","논  술",1.0,1.1,1.3,1.0,1.1,1.2,1.3,1.3,1.5,1.6,1.9
"서  울 (만원)","음  악",3.1,2.1,2.4,2.7,2.4,3.2,3.3,3.4,4.1,3.1,3.6
"서  울 (만원)","미  술",0.9,0.9,1.3,1.2,1.3,1.3,1.7,1.8,2.0,1.6,2.4
"서  울 (만원)","체  육",2.0,1.6,1.8,2.1,2.6,2.8,3.5,3.9,4.3,3.2,4.4
"광역시 (만원)","국  어",1.7,1.5,1.5,1.3,1.3,1.5,1.8,2.0,2.2,2.4,2.8
"광역시 (만원)","영  어",7.4,8.0,8.1,8.0,7.7,7.6,7.8,8.1,9.0,9.2,11.0
"광역시 (만원)","수  학",7.0,7.4,7.5,7.6,7.5,7.7,8.0,8.2,9.1,9.3,10.5
"광역시 (만원)","사회, 과학",1.2,1.0,0.9,0.9,0.9,1.0,1.2,1.3,1.3,1.4,1.6
"광역시 (만원)","논  술",0.6,0.6,0.7,0.6,0.6,0.7,0.8,0.8,0.9,0.8,1.1
"광역시 (만원)","음  악",1.5,1.7,1.7,1.6,1.8,2.1,2.2,2.2,2.4,1.7,2.5
"광역시 (만원)","미  술",0.7,0.8,0.8,0.8,0.9,1.1,1.1,1.3,1.4,1.0,1.5
"광역시 (만원)","체  육",1.3,1.4,1.4,1.5,1.8,2.3,2.8,2.9,3.3,2.4,3.3
"중소도시 (만원)","국  어",1.7,1.7,1.5,1.4,1.4,1.5,1.6,2.0,2.2,2.3,2.9
"중소도시 (만원)","영  어",8.5,8.1,8.2,8.2,7.9,7.8,7.8,8.5,9.5,9.2,11.2
"중소도시 (만원)","수  학",7.1,7.3,7.2,7.5,7.4,7.2,7.4,8.1,8.8,9.1,10.2
"중소도시 (만원)","사회, 과학",1.2,1.1,0.9,0.8,0.9,0.9,0.9,1.0,1.1,1.2,1.5
"중소도시 (만원)","논  술",0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.9,1.0,1.0,1.2
"중소도시 (만원)","음  악",2.1,1.7,1.9,2.0,1.9,2.2,2.4,2.5,2.7,1.9,2.6
"중소도시 (만원)","미  술",0.8,0.7,0.9,0.9,0.9,1.1,1.1,1.3,1.4,1.1,1.5
"중소도시 (만원)","체  육",1.5,1.3,1.6,1.9,2.1,2.5,2.9,3.2,3.6,2.4,3.5
"읍면지역 (만원)","국  어",1.5,1.3,1.4,1.2,1.0,1.2,1.3,1.3,1.5,1.7,2.0
"읍면지역 (만원)","영  어",4.9,4.7,4.3,4.7,4.8,4.7,4.9,5.1,5.8,5.7,7.0
"읍면지역 (만원)","수  학",4.0,4.1,4.3,4.6,5.0,4.7,4.8,5.0,5.7,5.6,6.9
"읍면지역 (만원)","사회, 과학",1.2,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.9,0.9,1.1
"읍면지역 (만원)","논  술",0.4,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.4,0.7
"읍면지역 (만원)","음  악",1.7,1.6,1.3,1.5,1.5,1.9,1.8,1.6,1.8,1.3,2.0
"읍면지역 (만원)","미  술",0.5,0.4,0.5,0.5,0.6,0.5,0.6,0.7,0.7,0.7,1.0
"읍면지역 (만원)","체  육",1.3,1.1,1.2,1.7,1.6,1.9,2.0,2.2,2.4,2.1,2.8
