"항목","과목 및 유형",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"서  울 (만원)","개인과외",5.4,4.8,4.9,4.8,4.9,4.2,4.3,4.0,4.6,5.3,5.9
"서  울 (만원)","그룹과외",2.2,2.4,2.1,2.1,2.2,1.8,1.8,2.1,2.1,2.2,2.1
"서  울 (만원)","학원수강",17.0,17.6,18.5,18.6,18.4,19.5,21.6,22.8,24.7,26.9,30.5
"서  울 (만원)","방문학습지",1.5,1.1,1.1,1.1,1.1,1.0,1.2,1.2,1.4,1.2,1.3
"서  울 (만원)","유료인터넷 및 통신강좌 등",0.3,0.2,0.2,0.2,0.2,0.5,0.5,0.6,0.7,0.9,1.5
"광역시 (만원)","개인과외",3.0,3.5,3.3,3.6,3.5,3.3,2.9,3.2,3.1,3.3,3.6
"광역시 (만원)","그룹과외",2.1,2.2,2.2,2.1,2.2,1.8,2.3,2.0,2.2,2.2,2.4
"광역시 (만원)","학원수강",11.8,11.7,12.3,11.9,11.5,12.1,13.1,13.8,16.0,16.0,19.2
"광역시 (만원)","방문학습지",1.2,1.1,0.9,0.9,0.9,1.0,1.1,1.2,1.1,1.1,1.1
"광역시 (만원)","유료인터넷 및 통신강좌 등",0.3,0.3,0.2,0.2,0.2,0.4,0.5,0.6,0.7,0.8,1.2
"중소도시 (만원)","개인과외",3.3,3.2,3.2,3.0,3.2,2.9,2.6,3.0,2.9,3.0,3.6
"중소도시 (만원)","그룹과외",2.3,2.4,2.4,2.4,2.3,2.1,2.2,2.4,2.3,2.4,2.4
"중소도시 (만원)","학원수강",12.4,12.3,11.9,12.1,11.8,12.0,12.3,13.8,16.1,15.7,18.8
"중소도시 (만원)","방문학습지",1.4,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.3,1.1,1.2
"중소도시 (만원)","유료인터넷 및 통신강좌 등",0.3,0.3,0.2,0.2,0.2,0.4,0.4,0.6,0.8,0.8,1.3
"읍면지역 (만원)","개인과외",1.7,1.6,1.7,1.7,2.1,2.0,1.8,1.8,1.8,2.0,2.4
"읍면지역 (만원)","그룹과외",1.8,1.8,1.5,1.6,1.9,1.7,1.9,2.0,2.0,1.9,2.3
"읍면지역 (만원)","학원수강",7.2,6.8,7.1,7.2,6.9,6.9,7.3,7.5,9.1,8.9,11.2
"읍면지역 (만원)","방문학습지",1.3,1.0,0.9,1.0,1.0,1.0,1.0,0.9,1.1,1.0,1.1
"읍면지역 (만원)","유료인터넷 및 통신강좌 등",0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.6,0.7,0.8,1.1
