"항목","과목 및 유형",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"초등학교 (만원)","사교육비",24.1,21.9,23.2,23.2,23.1,24.1,25.3,26.3,29.0,23.5,32.8
"초등학교 (만원)","국  어",1.7,1.6,1.4,1.3,1.3,1.3,1.4,1.5,1.5,1.6,2.0
"초등학교 (만원)","영  어",8.2,7.4,7.8,7.6,7.0,6.7,6.7,7.0,7.8,7.1,9.6
"초등학교 (만원)","수  학",4.4,4.2,4.5,4.5,4.4,4.0,4.3,4.5,5.0,4.9,6.2
"초등학교 (만원)","사회, 과학",1.1,1.0,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.9
"초등학교 (만원)","논  술",0.9,0.8,0.9,0.8,0.9,1.0,1.0,1.2,1.3,1.1,1.5
"초등학교 (만원)","컴퓨터",-,-,-,-,-,-,-,-,0.2,0.1,0.2
"초등학교 (만원)","제2외국어, 한문 등",-,-,-,-,-,-,-,-,0.5,0.3,0.4
"초등학교 (만원)","음  악",3.4,2.8,3.1,3.2,3.2,3.8,3.9,3.6,3.9,2.7,4.1
"초등학교 (만원)","미  술",0.9,0.8,1.0,1.0,1.1,1.2,1.3,1.4,1.6,1.0,1.8
"초등학교 (만원)","체  육",2.7,2.4,2.8,3.3,3.6,4.3,4.7,4.9,5.5,3.5,5.4
"초등학교 (만원)","취미·교양",0.4,0.4,0.4,0.4,0.5,0.7,0.8,0.8,0.8,0.4,0.6
"중학교 (만원)","사교육비",26.2,27.6,26.7,27.0,27.5,27.5,29.1,31.2,33.8,34.2,39.2
"중학교 (만원)","국  어",2.2,1.8,1.7,1.5,1.4,1.4,1.5,1.6,1.7,1.9,2.5
"중학교 (만원)","영  어",9.5,10.4,10.1,10.4,10.5,10.1,10.5,11.2,12.1,12.3,13.9
"중학교 (만원)","수  학",9.7,10.8,10.5,10.9,11.0,10.8,11.1,12.0,12.9,13.3,14.9
"중학교 (만원)","사회, 과학",2.2,1.6,1.4,1.3,1.3,1.4,1.4,1.5,1.6,1.6,2.1
"중학교 (만원)","논  술",0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.8,1.0,1.2
"중학교 (만원)","컴퓨터",-,-,-,-,-,-,-,-,0.1,0.1,0.2
"중학교 (만원)","제2외국어, 한문 등",-,-,-,-,-,-,-,-,0.4,0.3,0.3
"중학교 (만원)","음  악",0.8,0.9,0.8,0.8,0.9,0.9,1.2,1.0,1.2,1.0,1.0
"중학교 (만원)","미  술",0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.6,0.5,0.6
"중학교 (만원)","체  육",0.6,0.7,0.8,0.8,0.9,1.3,1.4,1.8,1.7,1.7,2.0
"중학교 (만원)","취미·교양",0.2,0.2,0.3,0.2,0.3,0.4,0.4,0.5,0.6,0.5,0.5
"고등학교 (만원)","사교육비",21.8,22.4,22.3,23.0,23.6,26.2,28.5,32.1,36.5,39.6,41.9
"고등학교 (만원)","국  어",1.9,1.8,1.8,1.8,1.8,2.3,2.7,3.5,4.3,4.9,5.7
"고등학교 (만원)","영  어",6.5,6.6,6.9,7.0,7.2,7.7,7.7,8.7,9.9,10.9,11.5
"고등학교 (만원)","수  학",8.7,9.3,8.8,9.3,9.7,10.4,10.9,11.8,13.1,14.5,14.9
"고등학교 (만원)","사회, 과학",0.8,0.9,0.6,0.7,0.8,1.1,1.2,1.5,2.0,2.5,2.7
"고등학교 (만원)","논  술",0.5,0.6,0.7,0.5,0.5,0.5,0.5,0.4,0.6,0.5,0.5
"고등학교 (만원)","컴퓨터",-,-,-,-,-,-,-,-,0.1,0.1,0.2
"고등학교 (만원)","제2외국어, 한문 등",-,-,-,-,-,-,-,-,0.3,0.3,0.2
"고등학교 (만원)","음  악",1.2,0.9,1.1,1.2,0.9,1.1,1.2,1.6,1.7,1.4,1.4
"고등학교 (만원)","미  술",1.0,1.0,1.2,1.1,1.2,1.4,1.4,1.8,1.8,1.8,2.1
"고등학교 (만원)","체  육",0.4,0.4,0.4,0.4,0.6,0.6,1.1,1.0,1.1,1.2,1.0
"고등학교 (만원)","취미·교양",0.4,0.5,0.5,0.6,0.5,0.6,0.9,0.8,0.9,0.8,0.8
"일반고 (만원)","사교육비",25.9,26.5,26.2,26.9,27.6,30.4,33.2,37.6,42.5,45.7,48.2
"일반고 (만원)","국  어",2.3,2.2,2.2,2.2,2.2,2.7,3.3,4.2,5.1,5.7,6.7
"일반고 (만원)","영  어",7.8,7.9,8.1,8.2,8.6,9.0,9.1,10.2,11.6,12.8,13.4
"일반고 (만원)","수  학",10.8,11.3,10.5,11.0,11.5,12.3,12.9,14.0,15.6,17.1,17.5
"일반고 (만원)","사회, 과학",0.9,1.0,0.7,0.9,1.0,1.3,1.4,1.8,2.4,3.0,3.2
"일반고 (만원)","논  술",0.7,0.8,0.8,0.6,0.6,0.6,0.5,0.5,0.7,0.5,0.5
"일반고 (만원)","컴퓨터",-,-,-,-,-,-,-,-,0.1,0.1,0.1
"일반고 (만원)","제2외국어, 한문 등",-,-,-,-,-,-,-,-,0.3,0.3,0.2
"일반고 (만원)","음  악",1.3,1.0,1.3,1.4,1.0,1.3,1.3,1.9,1.9,1.6,1.6
"일반고 (만원)","미  술",1.1,1.1,1.3,1.3,1.4,1.5,1.6,2.0,2.0,1.9,2.3
"일반고 (만원)","체  육",0.4,0.4,0.5,0.5,0.6,0.6,1.2,1.0,1.1,1.2,1.1
"일반고 (만원)","취미·교양",0.3,0.5,0.6,0.6,0.5,0.6,1.0,0.9,1.0,0.8,0.8
