희망최종학력,조사대상,2015,2016,2017,2018,2019,2020,2021
고등학교,초등학생,5.9,4.9,10.6,13.8,13.6,10.5,12.1
고등학교,중학생,12,11,12.1,15.8,15,12.1,13.3
고등학교,고등학생,9.3,7.4,7.5,10.4,10.4,8.4,9.5
전문대학(2·3·4년제),초등학생,18.3,18,15.2,15.6,12.4,20.5,16.3
전문대학(2·3·4년제),중학생,10.4,10.3,8.9,11.5,8.9,14,15.3
전문대학(2·3·4년제),고등학생,12.1,13.2,13.2,13.7,12.4,15.8,13.9
대학교(4·5·6년제),초등학생,44.2,50.6,38.3,36.5,36.7,29.5,33.2
대학교(4·5·6년제),중학생,50.3,54.4,53.4,47.7,49.9,47.9,47.1
대학교(4·5·6년제),고등학생,54.5,55.5,56.5,53.9,54,53.7,55.7
대학원(석사·박사),초등학생,16.9,14.7,12.4,8.9,9,12.3,9.9
대학원(석사·박사),중학생,10.7,12.1,10.8,8.3,8.6,9.8,8.5
대학원(석사·박사),고등학생,13.6,14.2,14.3,12.9,15.1,14.2,13
기타(잘 모름 등),초등학생,13.5,10.7,18.5,20.2,21.4,22.3,21.3
기타(잘 모름 등),중학생,12.8,9.6,11.7,13,13.6,14,12.8
기타(잘 모름 등),고등학생,10.6,9.7,8.5,9.1,8.1,8,7.9
