항목,과목 및 유형,연도,월평균
서  울 (만원),국어,2011,2.7
서  울 (만원),영어,2011,10.8
서  울 (만원),수학,2011,9.6
광역시 (만원),국어,2011,1.7
광역시 (만원),영어,2011,7.4
광역시 (만원),수학,2011,7.0
중소도시 (만원),국어,2011,1.7
중소도시 (만원),영어,2011,8.5
중소도시 (만원),수학,2011,7.1
읍면지역 (만원),국어,2011,1.5
읍면지역 (만원),영어,2011,4.9
읍면지역 (만원),수학,2011,4.0
서  울 (만원),국어,2012,2.4
서  울 (만원),영어,2012,10.1
서  울 (만원),수학,2012,10.4
광역시 (만원),국어,2012,1.5
광역시 (만원),영어,2012,8.0
광역시 (만원),수학,2012,7.4
중소도시 (만원),국어,2012,1.7
중소도시 (만원),영어,2012,8.1
중소도시 (만원),수학,2012,7.3
읍면지역 (만원),국어,2012,1.3
읍면지역 (만원),영어,2012,4.7
읍면지역 (만원),수학,2012,4.1
서  울 (만원),국어,2013,2.3
서  울 (만원),영어,2013,11.3
서  울 (만원),수학,2013,10.4
광역시 (만원),국어,2013,1.5
광역시 (만원),영어,2013,8.1
광역시 (만원),수학,2013,7.5
중소도시 (만원),국어,2013,1.5
중소도시 (만원),영어,2013,8.2
중소도시 (만원),수학,2013,7.2
읍면지역 (만원),국어,2013,1.4
읍면지역 (만원),영어,2013,4.3
읍면지역 (만원),수학,2013,4.3
서  울 (만원),국어,2014,2.3
서  울 (만원),영어,2014,11.2
서  울 (만원),수학,2014,10.8
광역시 (만원),국어,2014,1.3
광역시 (만원),영어,2014,8.0
광역시 (만원),수학,2014,7.6
중소도시 (만원),국어,2014,1.4
중소도시 (만원),영어,2014,8.2
중소도시 (만원),수학,2014,7.5
읍면지역 (만원),국어,2014,1.2
읍면지역 (만원),영어,2014,4.7
읍면지역 (만원),수학,2014,4.6
서  울 (만원),국어,2015,2.3
서  울 (만원),영어,2015,11.2
서  울 (만원),수학,2015,10.6
광역시 (만원),국어,2015,1.3
광역시 (만원),영어,2015,7.7
광역시 (만원),수학,2015,7.5
중소도시 (만원),국어,2015,1.4
중소도시 (만원),영어,2015,7.9
중소도시 (만원),수학,2015,7.4
읍면지역 (만원),국어,2015,1.0
읍면지역 (만원),영어,2015,4.8
읍면지역 (만원),수학,2015,5.0
서  울 (만원),국어,2016,2.5
서  울 (만원),영어,2016,10.7
서  울 (만원),수학,2016,10.8
광역시 (만원),국어,2016,1.5
광역시 (만원),영어,2016,7.6
광역시 (만원),수학,2016,7.7
중소도시 (만원),국어,2016,1.5
중소도시 (만원),영어,2016,7.8
중소도시 (만원),수학,2016,7.2
읍면지역 (만원),국어,2016,1.2
읍면지역 (만원),영어,2016,4.7
읍면지역 (만원),수학,2016,4.7
서  울 (만원),국어,2017,3.0
서  울 (만원),영어,2017,11.1
서  울 (만원),수학,2017,11.7
광역시 (만원),국어,2017,1.8
광역시 (만원),영어,2017,7.8
광역시 (만원),수학,2017,8.0
중소도시 (만원),국어,2017,1.6
중소도시 (만원),영어,2017,7.8
중소도시 (만원),수학,2017,7.4
읍면지역 (만원),국어,2017,1.3
읍면지역 (만원),영어,2017,4.9
읍면지역 (만원),수학,2017,4.8
서  울 (만원),국어,2018,3.2
서  울 (만원),영어,2018,12.0
서  울 (만원),수학,2018,11.9
광역시 (만원),국어,2018,2.0
광역시 (만원),영어,2018,8.1
광역시 (만원),수학,2018,8.2
중소도시 (만원),국어,2018,2.0
중소도시 (만원),영어,2018,8.5
중소도시 (만원),수학,2018,8.1
읍면지역 (만원),국어,2018,1.3
읍면지역 (만원),영어,2018,5.1
읍면지역 (만원),수학,2018,5.0
서  울 (만원),국어,2019,3.5
서  울 (만원),영어,2019,13.0
서  울 (만원),수학,2019,12.6
광역시 (만원),국어,2019,2.2
광역시 (만원),영어,2019,9.0
광역시 (만원),수학,2019,9.1
중소도시 (만원),국어,2019,2.2
중소도시 (만원),영어,2019,9.5
중소도시 (만원),수학,2019,8.8
읍면지역 (만원),국어,2019,1.5
읍면지역 (만원),영어,2019,5.8
읍면지역 (만원),수학,2019,5.7
서  울 (만원),국어,2020,4.1
서  울 (만원),영어,2020,13.7
서  울 (만원),수학,2020,14.1
광역시 (만원),국어,2020,2.4
광역시 (만원),영어,2020,9.2
광역시 (만원),수학,2020,9.3
중소도시 (만원),국어,2020,2.3
중소도시 (만원),영어,2020,9.2
중소도시 (만원),수학,2020,9.1
읍면지역 (만원),국어,2020,1.7
읍면지역 (만원),영어,2020,5.7
읍면지역 (만원),수학,2020,5.6
