소계 초등학교,종로구 초등학교,중구 초등학교,용산구 초등학교,성동구 초등학교,광진구 초등학교,동대문구 초등학교,중랑구 초등학교,성북구 초등학교,강북구 초등학교,도봉구 초등학교,노원구 초등학교,은평구 초등학교,서대문구 초등학교,마포구 초등학교,양천구 초등학교,강서구 초등학교,구로구 초등학교,금천구 초등학교,영등포구 초등학교,동작구 초등학교,관악구 초등학교,서초구 초등학교,강남구 초등학교,송파구 초등학교,강동구 초등학교,소계 초등학교 학업중단율,종로구 초등학교 학업중단율,중구 초등학교 학업중단율,용산구 초등학교 학업중단율,성동구 초등학교 학업중단율,광진구 초등학교 학업중단율,동대문구 초등학교 학업중단율,중랑구 초등학교 학업중단율,성북구 초등학교 학업중단율,강북구 초등학교 학업중단율,도봉구 초등학교 학업중단율,노원구 초등학교 학업중단율,은평구 초등학교 학업중단율,서대문구 초등학교 학업중단율,마포구 초등학교 학업중단율,양천구 초등학교 학업중단율,강서구 초등학교 학업중단율,구로구 초등학교 학업중단율,금천구 초등학교 학업중단율,영등포구 초등학교 학업중단율,동작구 초등학교 학업중단율,관악구 초등학교 학업중단율,서초구 초등학교 학업중단율,강남구 초등학교 학업중단율,송파구 초등학교 학업중단율,강동구 초등학교 학업중단율
42.7,42.0,76.8,60.5,30.5,60.0,30.3,13.1,28.7,20.6,29.9,24.0,28.0,36.3,48.6,58.0,26.6,13.3,16.0,35.4,32.7,24.6,122.0,131.0,56.5,26.8,1.13,1.19,1.8,2.1,0.98,1.16,0.88,0.41,0.89,0.44,0.56,0.7,0.57,1.1,1.17,1.38,0.85,0.65,0.45,1.1,0.92,0.74,3.21,2.97,1.55,0.76
37.7,59.4,84.1,53.6,37.9,49.8,32.4,13.8,31.8,16.1,20.3,20.0,14.6,47.8,38.0,53.1,19.1,22.7,22.1,20.7,32.5,20.9,88.5,101.0,56.7,22.0,1.05,1.4,1.75,1.69,1.1,1.14,0.69,0.48,0.88,0.61,0.46,0.58,0.48,1.14,0.97,1.19,0.63,0.63,0.37,1.03,1.01,0.74,2.71,2.96,1.48,0.71
32.0,32.1,90.5,49.2,33.4,26.1,19.9,11.9,22.5,21.0,13.9,25.7,17.4,34.4,27.0,43.2,21.9,18.4,10.1,25.8,25.7,17.4,86.3,90.4,37.8,16.2,1.03,1.16,2.1,2.13,1.04,0.96,0.73,0.37,0.89,0.53,0.41,0.58,0.66,1.0,0.97,1.03,0.55,0.62,0.33,1.09,1.09,0.66,2.65,2.61,1.48,0.6
29.2,29.6,57.5,47.5,27.7,43.1,24.8,14.0,9.4,26.1,12.6,19.0,15.5,46.3,18.1,33.3,20.4,19.1,15.6,29.8,32.6,14.7,71.9,66.6,35.5,18.0,0.98,0.92,1.73,1.68,1.01,1.19,0.8,0.39,0.85,0.51,0.49,0.57,0.46,1.08,1.06,0.96,0.65,0.54,0.65,1.11,1.05,0.72,2.53,1.97,1.37,0.6
29.0,54.5,65.8,69.4,39.7,33.3,25.3,10.1,23.6,8.9,11.3,20.0,18.7,36.0,23.2,28.2,15.2,11.5,9.8,28.4,20.1,14.8,68.2,69.5,43.8,9.8,1.01,1.28,2.25,1.84,1.3,1.14,0.71,0.46,0.83,0.44,0.38,0.57,0.52,1.08,1.0,1.09,0.73,0.65,0.38,1.27,0.8,0.68,2.38,2.19,1.36,0.58
33.1,39.6,53.0,52.5,35.7,35.9,31.6,11.7,24.2,21.1,17.9,18.0,14.7,44.7,31.5,29.4,12.4,19.5,5.5,23.0,31.1,14.8,86.3,83.3,54.8,22.3,1.09,1.49,2.48,2.1,1.1,1.08,0.8,0.39,0.84,0.66,0.57,0.69,0.66,1.24,1.16,1.01,0.57,0.6,0.37,1.12,1.04,0.73,2.63,2.27,1.58,0.77
35.9,34.5,67.0,59.0,40.3,46.0,24.8,10.4,26.9,24.4,11.9,34.1,20.4,44.5,29.8,30.6,15.6,15.4,13.5,38.2,33.0,15.9,88.0,88.1,49.7,23.7,1.13,1.56,2.41,2.61,1.33,1.05,0.6,0.45,0.9,0.52,0.27,0.79,0.62,1.16,0.92,1.01,0.63,0.61,0.59,1.1,1.14,0.65,2.88,2.74,1.47,0.75
40.5,54.9,75.3,60.5,57.7,34.7,37.3,11.2,29.5,17.3,8.4,32.6,17.1,30.0,41.9,31.5,25.4,15.0,5.6,32.4,40.0,23.0,119.7,114.2,49.1,20.9,1.22,1.61,2.08,2.41,1.73,1.27,0.89,0.38,0.97,0.57,0.44,0.72,0.63,1.46,1.36,1.19,0.63,0.61,0.38,1.23,1.07,0.69,2.95,3.02,1.49,0.82
17.7,30.8,16.0,36.4,16.4,15.4,13.7,0.7,11.5,6.1,5.5,10.1,8.3,16.2,22.3,30.4,16.9,7.7,1.2,8.1,12.2,6.9,50.7,31.7,29.6,10.3,0.66,0.81,1.48,1.56,0.91,0.76,0.42,0.36,0.46,0.28,0.14,0.3,0.3,0.78,0.67,0.71,0.38,0.46,0.31,0.54,0.55,0.27,1.76,1.23,0.91,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.49,1.67,2.08,0.99,1.23,0.92,0.4,0.95,0.57,0.59,0.81,0.64,1.19,1.03,1.49,0.81,0.54,0.53,1.14,1.01,0.85,3.45,3.52,1.55,0.83
