학력수준,연도,과목,비율
우수학력,2011,국어,33.0
우수학력,2012,국어,29.6
우수학력,2013,국어,31.1
우수학력,2014,국어,33.7
우수학력,2015,국어,28.3
우수학력,2016,국어,33.0
우수학력,2017,국어,32.9
우수학력,2018,국어,37.0
우수학력,2019,국어,28.8
우수학력,2020,국어,23.3
보통학력,2011,국어,52.1
보통학력,2012,국어,53.9
보통학력,2013,국어,52.7
보통학력,2014,국어,52.8
보통학력,2015,국어,52.9
보통학력,2016,국어,51.0
보통학력,2017,국어,43.3
보통학력,2018,국어,44.6
보통학력,2019,국어,48.7
보통학력,2020,국어,46.4
기초학력,2011,국어,12.9
기초학력,2012,국어,14.4
기초학력,2013,국어,13.5
기초학력,2014,국어,12.2
기초학력,2015,국어,16.2
기초학력,2016,국어,12.8
기초학력,2017,국어,19.1
기초학력,2018,국어,15.0
기초학력,2019,국어,18.5
기초학력,2020,국어,23.4
기초학력 미달,2011,국어,2.0
기초학력 미달,2012,국어,2.1
기초학력 미달,2013,국어,2.8
기초학력 미달,2014,국어,1.3
기초학력 미달,2015,국어,2.6
기초학력 미달,2016,국어,3.2
기초학력 미달,2017,국어,4.7
기초학력 미달,2018,국어,3.4
기초학력 미달,2019,국어,4.0
기초학력 미달,2020,국어,6.8
우수학력,2011,수학,23.0
우수학력,2012,수학,24.4
우수학력,2013,수학,22.0
우수학력,2014,수학,22.0
우수학력,2015,수학,28.5
우수학력,2016,수학,30.6
우수학력,2017,수학,29.4
우수학력,2018,수학,28.8
우수학력,2019,수학,29.3
우수학력,2020,수학,29.0
보통학력,2011,수학,57.9
보통학력,2012,수학,56.7
보통학력,2013,수학,63.2
보통학력,2014,수학,62.5
보통학력,2015,수학,51.8
보통학력,2016,수학,47.6
보통학력,2017,수학,47.5
보통학력,2018,수학,41.6
보통학력,2019,수학,36.2
보통학력,2020,수학,31.8
기초학력,2011,수학,14.8
기초학력,2012,수학,14.6
기초학력,2013,수학,10.2
기초학력,2014,수학,10.1
기초학력,2015,수학,14.2
기초학력,2016,수학,16.5
기초학력,2017,수학,13.9
기초학력,2018,수학,19.2
기초학력,2019,수학,25.5
기초학력,2020,수학,25.7
기초학력 미달,2011,수학,4.4
기초학력 미달,2012,수학,4.3
기초학력 미달,2013,수학,4.5
기초학력 미달,2014,수학,5.4
기초학력 미달,2015,수학,5.5
기초학력 미달,2016,수학,5.3
기초학력 미달,2017,수학,9.2
기초학력 미달,2018,수학,10.4
기초학력 미달,2019,수학,9.0
기초학력 미달,2020,수학,13.5
우수학력,2011,영어,32.7
우수학력,2012,영어,33.3
우수학력,2013,영어,33.2
우수학력,2014,영어,32.8
우수학력,2015,영어,36.5
우수학력,2016,영어,41.6
우수학력,2017,영어,36.8
우수학력,2018,영어,37.3
우수학력,2019,영어,40.0
우수학력,2020,영어,37.1
보통학력,2011,영어,50.6
보통학력,2012,영어,51.0
보통학력,2013,영어,52.0
보통학력,2014,영어,51.8
보통학력,2015,영어,47.4
보통학력,2016,영어,44.4
보통학력,2017,영어,45.7
보통학력,2018,영어,43.0
보통학력,2019,영어,38.8
보통학력,2020,영어,39.6
기초학력,2011,영어,13.0
기초학력,2012,영어,13.2
기초학력,2013,영어,12.1
기초학력,2014,영어,9.4
기초학력,2015,영어,11.7
기초학력,2016,영어,8.9
기초학력,2017,영어,13.7
기초학력,2018,영어,13.4
기초학력,2019,영어,17.6
기초학력,2020,영어,14.7
기초학력 미달,2011,영어,3.6
기초학력 미달,2012,영어,2.6
기초학력 미달,2013,영어,2.7
기초학력 미달,2014,영어,5.9
기초학력 미달,2015,영어,4.4
기초학력 미달,2016,영어,5.1
기초학력 미달,2017,영어,3.8
기초학력 미달,2018,영어,6.2
기초학력 미달,2019,영어,3.6
기초학력 미달,2020,영어,8.6
