,진로계획,Year,count
0,대학 진학,2016,7471.0
1,취업,2016,1423.0
2,창업,2016,154.0
3,기타(군입대 해외 유학),2016,413.0
4,진로미결정,2016,833.0
5,대학 진학,2017,7532.0
6,취업,2017,1287.0
7,창업,2017,167.0
8,기타(군입대 해외 유학),2017,397.0
9,진로미결정,2017,1030.0
10,대학 진학,2018,6908.0
11,취업,2018,1216.0
12,창업,2018,145.0
13,기타(군입대 해외 유학),2018,370.0
14,진로미결정,2018,907.0
15,대학 진학,2019,5854.0
16,취업,2019,1159.0
17,창업,2019,159.0
18,기타(군입대 해외 유학),2019,374.0
19,진로미결정,2019,819.0
20,대학 진학,2020,6211.0
21,취업,2020,995.0
22,창업,2020,119.0
23,기타(군입대 해외 유학),2020,278.0
24,진로미결정,2020,929.0
