,교급,기준,연도,월평균
1,초등학교,서울,2011,30.4
3,중학교,서울,2011,31.8
5,고등학교,서울,2011,37.4
7,일반고,서울,2011,42.7
9,초등학교,서울,2012,26.1
11,중학교,서울,2012,34.0
13,고등학교,서울,2012,36.1
15,일반고,서울,2012,41.1
17,초등학교,서울,2013,28.4
19,중학교,서울,2013,34.9
21,고등학교,서울,2013,37.1
23,일반고,서울,2013,42.7
25,초등학교,서울,2014,30.0
27,중학교,서울,2014,34.9
29,고등학교,서울,2014,37.1
31,일반고,서울,2014,42.1
33,초등학교,서울,2015,29.6
35,중학교,서울,2015,35.5
37,고등학교,서울,2015,38.3
39,일반고,서울,2015,43.6
41,초등학교,서울,2016,29.9
43,중학교,서울,2016,37.0
45,고등학교,서울,2016,41.7
47,일반고,서울,2016,47.0
49,초등학교,서울,2017,34.1
51,중학교,서울,2017,41.7
53,고등학교,서울,2017,44.5
55,일반고,서울,2017,51.8
57,초등학교,서울,2018,36.5
59,중학교,서울,2018,41.5
61,고등학교,서울,2018,48.4
63,일반고,서울,2018,56.6
65,초등학교,서울,2019,38.5
67,중학교,서울,2019,46.3
69,고등학교,서울,2019,55.6
71,일반고,서울,2019,65.2
73,초등학교,서울,2020,35.1
75,중학교,서울,2020,49.2
77,고등학교,서울,2020,60.5
79,일반고,서울,2020,69.8
81,초등학교,서울,2021,47.3
83,중학교,서울,2021,52.6
85,고등학교,서울,2021,63.4
87,일반고,서울,2021,73.5
