,과목 및 유형,연도,월평균,지역
1,국어,2011,2.7,서울
2,영어,2011,10.8,서울
3,수학,2011,9.6,서울
4,"사회,과학",2011,1.7,서울
5,논술,2011,1.0,서울
6,컴퓨터,2011,0.0,서울
7,"제2외국어,한문등",2011,0.0,서울
8,음악,2011,3.1,서울
9,미술,2011,0.9,서울
10,체육,2011,2.0,서울
11,취미·교양,2011,0.3,서울
13,국어,2011,1.7,광역시
14,영어,2011,7.4,광역시
15,수학,2011,7.0,광역시
16,"사회,과학",2011,1.2,광역시
17,논술,2011,0.6,광역시
18,컴퓨터,2011,0.0,광역시
19,"제2외국어,한문등",2011,0.0,광역시
20,음악,2011,1.5,광역시
21,미술,2011,0.7,광역시
22,체육,2011,1.3,광역시
23,취미·교양,2011,0.4,광역시
25,국어,2011,1.7,중소도시
26,영어,2011,8.5,중소도시
27,수학,2011,7.1,중소도시
28,"사회,과학",2011,1.2,중소도시
29,논술,2011,0.7,중소도시
30,컴퓨터,2011,0.0,중소도시
31,"제2외국어,한문등",2011,0.0,중소도시
32,음악,2011,2.1,중소도시
33,미술,2011,0.8,중소도시
34,체육,2011,1.5,중소도시
35,취미·교양,2011,0.3,중소도시
37,국어,2011,1.5,읍면지역
38,영어,2011,4.9,읍면지역
39,수학,2011,4.0,읍면지역
40,"사회,과학",2011,1.2,읍면지역
41,논술,2011,0.4,읍면지역
42,컴퓨터,2011,0.0,읍면지역
43,"제2외국어,한문등",2011,0.0,읍면지역
44,음악,2011,1.7,읍면지역
45,미술,2011,0.5,읍면지역
46,체육,2011,1.3,읍면지역
47,취미·교양,2011,0.3,읍면지역
49,국어,2012,2.4,서울
50,영어,2012,10.1,서울
51,수학,2012,10.4,서울
52,"사회,과학",2012,1.7,서울
53,논술,2012,1.1,서울
54,컴퓨터,2012,0.0,서울
55,"제2외국어,한문등",2012,0.0,서울
56,음악,2012,2.1,서울
57,미술,2012,0.9,서울
58,체육,2012,1.6,서울
59,취미·교양,2012,0.5,서울
61,국어,2012,1.5,광역시
62,영어,2012,8.0,광역시
63,수학,2012,7.4,광역시
64,"사회,과학",2012,1.0,광역시
65,논술,2012,0.6,광역시
66,컴퓨터,2012,0.0,광역시
67,"제2외국어,한문등",2012,0.0,광역시
68,음악,2012,1.7,광역시
69,미술,2012,0.8,광역시
70,체육,2012,1.4,광역시
71,취미·교양,2012,0.4,광역시
73,국어,2012,1.7,중소도시
74,영어,2012,8.1,중소도시
75,수학,2012,7.3,중소도시
76,"사회,과학",2012,1.1,중소도시
77,논술,2012,0.7,중소도시
78,컴퓨터,2012,0.0,중소도시
79,"제2외국어,한문등",2012,0.0,중소도시
80,음악,2012,1.7,중소도시
81,미술,2012,0.7,중소도시
82,체육,2012,1.3,중소도시
83,취미·교양,2012,0.4,중소도시
85,국어,2012,1.3,읍면지역
86,영어,2012,4.7,읍면지역
87,수학,2012,4.1,읍면지역
88,"사회,과학",2012,0.8,읍면지역
89,논술,2012,0.2,읍면지역
90,컴퓨터,2012,0.0,읍면지역
91,"제2외국어,한문등",2012,0.0,읍면지역
92,음악,2012,1.6,읍면지역
93,미술,2012,0.4,읍면지역
94,체육,2012,1.1,읍면지역
95,취미·교양,2012,0.3,읍면지역
97,국어,2013,2.3,서울
98,영어,2013,11.3,서울
99,수학,2013,10.4,서울
100,"사회,과학",2013,1.1,서울
101,논술,2013,1.3,서울
102,컴퓨터,2013,0.0,서울
103,"제2외국어,한문등",2013,0.0,서울
104,음악,2013,2.4,서울
105,미술,2013,1.3,서울
106,체육,2013,1.8,서울
107,취미·교양,2013,0.4,서울
109,국어,2013,1.5,광역시
110,영어,2013,8.1,광역시
111,수학,2013,7.5,광역시
112,"사회,과학",2013,0.9,광역시
113,논술,2013,0.7,광역시
114,컴퓨터,2013,0.0,광역시
115,"제2외국어,한문등",2013,0.0,광역시
116,음악,2013,1.7,광역시
117,미술,2013,0.8,광역시
118,체육,2013,1.4,광역시
119,취미·교양,2013,0.4,광역시
121,국어,2013,1.5,중소도시
122,영어,2013,8.2,중소도시
123,수학,2013,7.2,중소도시
124,"사회,과학",2013,0.9,중소도시
125,논술,2013,0.7,중소도시
126,컴퓨터,2013,0.0,중소도시
127,"제2외국어,한문등",2013,0.0,중소도시
128,음악,2013,1.9,중소도시
129,미술,2013,0.9,중소도시
130,체육,2013,1.6,중소도시
131,취미·교양,2013,0.5,중소도시
133,국어,2013,1.4,읍면지역
134,영어,2013,4.3,읍면지역
135,수학,2013,4.3,읍면지역
136,"사회,과학",2013,0.8,읍면지역
137,논술,2013,0.3,읍면지역
138,컴퓨터,2013,0.0,읍면지역
139,"제2외국어,한문등",2013,0.0,읍면지역
140,음악,2013,1.3,읍면지역
141,미술,2013,0.5,읍면지역
142,체육,2013,1.2,읍면지역
143,취미·교양,2013,0.3,읍면지역
145,국어,2014,2.3,서울
146,영어,2014,11.2,서울
