연도,과목,보통이상,기초이하,우수학력,보통학력,기초학력,기초학력 미달
2011,국어,81.3,18.599999999999998,31.0,50.3,17.2,1.4
2012,국어,83.6,16.2,31.1,52.5,15.2,1.0
2013,국어,86.2,13.799999999999999,30.0,56.2,12.6,1.2
2014,국어,87.3,12.7,26.5,60.8,10.7,2.0
2015,국어,82.5,17.400000000000002,30.2,52.3,14.8,2.6
2016,국어,90.1,9.9,37.5,52.6,7.9,2.0
2017,국어,85.2,14.8,34.1,51.1,12.3,2.5
2018,국어,81.30000000000001,18.700000000000003,31.6,49.7,14.3,4.4
2019,국어,82.80000000000001,17.0,39.7,43.1,13.0,4.0
2020,국어,75.3,24.6,36.5,38.8,18.2,6.4
2011,수학,64.6,35.5,20.6,44.0,31.5,4.0
2012,수학,66.6,33.2,16.6,50.0,29.8,3.4
2013,수학,66.4,33.6,13.0,53.4,28.5,5.1
2014,수학,66.7,33.2,12.8,53.9,27.5,5.7
2015,수학,66.2,33.8,18.8,47.4,29.2,4.6
2016,수학,68.3,31.700000000000003,19.9,48.4,26.8,4.9
2017,수학,68.4,31.6,18.5,49.9,24.7,6.9
2018,수학,62.3,37.7,22.7,39.6,26.6,11.1
2019,수학,61.3,38.7,17.9,43.4,26.9,11.8
2020,수학,57.8,42.3,17.7,40.1,28.9,13.4
2011,영어,70.7,29.3,32.2,38.5,28.0,1.3
2012,영어,73.8,26.099999999999998,27.9,45.9,23.9,2.2
2013,영어,75.0,25.0,28.1,46.9,21.7,3.3
2014,영어,75.2,24.7,30.3,44.9,21.4,3.3
2015,영어,70.4,29.599999999999998,26.2,44.2,26.2,3.4
2016,영어,74.7,25.3,28.0,46.7,21.3,4.0
2017,영어,73.4,26.700000000000003,24.4,49.0,23.6,3.1
2018,영어,65.7,34.199999999999996,20.5,45.2,28.9,5.3
2019,영어,72.7,27.3,24.2,48.5,24.0,3.3
2020,영어,63.9,36.0,29.1,34.8,28.9,7.1
