,항목,특성별,연도,총액
4,초등학교,국어,2011,6337.0
5,초등학교,영어,2011,30927.0
6,초등학교,수학,2011,16483.0
7,초등학교,"사회, 과학",2011,4040.0
8,초등학교,논술,2011,3248.0
9,초등학교,컴퓨터,2011,0.0
10,초등학교,"제2외국어, 한문 등",2011,0.0
11,초등학교,음악,2011,12669.0
12,초등학교,미술,2011,3261.0
13,초등학교,체육,2011,10130.0
14,초등학교,취미·교양,2011,1371.0
19,중학교,국어,2011,4977.0
20,중학교,영어,2011,21706.0
21,중학교,수학,2011,22169.0
22,중학교,"사회, 과학",2011,5015.0
23,중학교,논술,2011,1077.0
24,중학교,컴퓨터,2011,0.0
25,중학교,"제2외국어, 한문 등",2011,0.0
26,중학교,음악,2011,1917.0
27,중학교,미술,2011,522.0
28,중학교,체육,2011,1355.0
29,중학교,취미·교양,2011,444.0
34,고등학교,국어,2011,4344.0
35,고등학교,영어,2011,15053.0
36,고등학교,수학,2011,20372.0
37,고등학교,"사회, 과학",2011,1779.0
38,고등학교,논술,2011,1220.0
39,고등학교,컴퓨터,2011,0.0
40,고등학교,"제2외국어, 한문 등",2011,0.0
41,고등학교,음악,2011,2706.0
42,고등학교,미술,2011,2366.0
43,고등학교,체육,2011,1041.0
44,고등학교,취미·교양,2011,893.0
49,일반고,국어,2011,4170.0
50,일반고,영어,2011,14313.0
51,일반고,수학,2011,19784.0
52,일반고,"사회, 과학",2011,1732.0
53,일반고,논술,2011,1206.0
54,일반고,컴퓨터,2011,0.0
55,일반고,"제2외국어, 한문 등",2011,0.0
56,일반고,음악,2011,2479.0
57,일반고,미술,2011,2009.0
58,일반고,체육,2011,795.0
59,일반고,취미·교양,2011,548.0
64,초등학교,국어,2012,5807.0
65,초등학교,영어,2012,26350.0
66,초등학교,수학,2012,14846.0
67,초등학교,"사회, 과학",2012,3407.0
68,초등학교,논술,2012,2688.0
69,초등학교,컴퓨터,2012,0.0
70,초등학교,"제2외국어, 한문 등",2012,0.0
71,초등학교,음악,2012,9957.0
72,초등학교,미술,2012,2960.0
73,초등학교,체육,2012,8557.0
74,초등학교,취미·교양,2012,1436.0
79,중학교,국어,2012,4044.0
80,중학교,영어,2012,23068.0
81,중학교,수학,2012,23898.0
82,중학교,"사회, 과학",2012,3622.0
83,중학교,논술,2012,1172.0
84,중학교,컴퓨터,2012,0.0
85,중학교,"제2외국어, 한문 등",2012,0.0
86,중학교,음악,2012,2062.0
87,중학교,미술,2012,549.0
88,중학교,체육,2012,1486.0
89,중학교,취미·교양,2012,494.0
94,고등학교,국어,2012,4118.0
95,고등학교,영어,2012,15184.0
96,고등학교,수학,2012,21457.0
97,고등학교,"사회, 과학",2012,1962.0
98,고등학교,논술,2012,1451.0
99,고등학교,컴퓨터,2012,0.0
100,고등학교,"제2외국어, 한문 등",2012,0.0
101,고등학교,음악,2012,2122.0
102,고등학교,미술,2012,2254.0
103,고등학교,체육,2012,914.0
104,고등학교,취미·교양,2012,1177.0
109,일반고,국어,2012,4029.0
110,일반고,영어,2012,14603.0
111,일반고,수학,2012,20938.0
112,일반고,"사회, 과학",2012,1946.0
113,일반고,논술,2012,1445.0
114,일반고,컴퓨터,2012,0.0
115,일반고,"제2외국어, 한문 등",2012,0.0
116,일반고,음악,2012,1900.0
117,일반고,미술,2012,1978.0
118,일반고,체육,2012,767.0
119,일반고,취미·교양,2012,878.0
124,초등학교,국어,2013,4747.0
125,초등학교,영어,2013,25918.0
126,초등학교,수학,2013,14974.0
127,초등학교,"사회, 과학",2013,2739.0
128,초등학교,논술,2013,3139.0
129,초등학교,컴퓨터,2013,0.0
130,초등학교,"제2외국어, 한문 등",2013,0.0
131,초등학교,음악,2013,10308.0
132,초등학교,미술,2013,3494.0
133,초등학교,체육,2013,9397.0
134,초등학교,취미·교양,2013,1363.0
139,중학교,국어,2013,3691.0
140,중학교,영어,2013,21808.0
141,중학교,수학,2013,22713.0
142,중학교,"사회, 과학",2013,3100.0
143,중학교,논술,2013,1108.0
144,중학교,컴퓨터,2013,0.0
145,중학교,"제2외국어, 한문 등",2013,0.0
146,중학교,음악,2013,1740.0
147,중학교,미술,2013,731.0
148,중학교,체육,2013,1713.0
149,중학교,취미·교양,2013,630.0
154,고등학교,국어,2013,4199.0
155,고등학교,영어,2013,15591.0
156,고등학교,수학,2013,20075.0
157,고등학교,"사회, 과학",2013,1309.0
158,고등학교,논술,2013,1487.0
159,고등학교,컴퓨터,2013,0.0
160,고등학교,"제2외국어, 한문 등",2013,0.0
161,고등학교,음악,2013,2520.0
162,고등학교,미술,2013,2624.0
163,고등학교,체육,2013,978.0
164,고등학교,취미·교양,2013,1241.0
169,일반고,국어,2013,4102.0
170,일반고,영어,2013,15165.0
171,일반고,수학,2013,19693.0
172,일반고,"사회, 과학",2013,1278.0
173,일반고,논술,2013,1484.0
174,일반고,컴퓨터,2013,0.0
175,일반고,"제2외국어, 한문 등",2013,0.0
176,일반고,음악,2013,2426.0
177,일반고,미술,2013,2513.0
178,일반고,체육,2013,852.0
179,일반고,취미·교양,2013,1080.0
184,초등학교,국어,2014,4310.0
185,초등학교,영어,2014,24804.0
186,초등학교,수학,2014,14682.0
187,초등학교,"사회, 과학",2014,2395.0
188,초등학교,논술,2014,2679.0
189,초등학교,컴퓨터,2014,0.0
190,초등학교,"제2외국어, 한문 등",2014,0.0
191,초등학교,음악,2014,10455.0
192,초등학교,미술,2014,3423.0
193,초등학교,체육,2014,10809.0
194,초등학교,취미·교양,2014,1342.0
199,중학교,국어,2014,3043.0
200,중학교,영어,2014,21349.0
