,항목,특성별,연도,총액
0,초등학교,서울,2011,19544.0
1,초등학교,광역시,2011,19294.0
2,초등학교,중소도시,2011,39522.0
3,초등학교,읍면지역,2011,12101.0
15,중학교,서울,2011,12614.0
16,중학교,광역시,2011,15019.0
17,중학교,중소도시,2011,26490.0
18,중학교,읍면지역,2011,5884.0
30,고등학교,서울,2011,15860.0
31,고등학교,광역시,2011,12709.0
32,고등학교,중소도시,2011,19566.0
33,고등학교,읍면지역,2011,2664.0
45,일반고,서울,2011,15250.0
46,일반고,광역시,2011,11795.0
47,일반고,중소도시,2011,18318.0
48,일반고,읍면지역,2011,2278.0
60,초등학교,서울,2012,15745.0
61,초등학교,광역시,2012,19608.0
62,초등학교,중소도시,2012,35406.0
63,초등학교,읍면지역,2012,6794.0
75,중학교,서울,2012,12870.0
76,중학교,광역시,2012,15414.0
77,중학교,중소도시,2012,27021.0
78,중학교,읍면지역,2012,5857.0
90,고등학교,서울,2012,14921.0
91,고등학교,광역시,2012,13003.0
92,고등학교,중소도시,2012,21087.0
93,고등학교,읍면지역,2012,2668.0
105,일반고,서울,2012,14309.0
106,일반고,광역시,2012,12261.0
107,일반고,중소도시,2012,20100.0
108,일반고,읍면지역,2012,2413.0
120,초등학교,서울,2013,16006.0
121,초등학교,광역시,2013,18483.0
122,초등학교,중소도시,2013,34613.0
123,초등학교,읍면지역,2013,8273.0
135,중학교,서울,2013,12754.0
136,중학교,광역시,2013,14441.0
137,중학교,중소도시,2013,25349.0
138,중학교,읍면지역,2013,5286.0
150,고등학교,서울,2013,14869.0
151,고등학교,광역시,2013,13163.0
152,고등학교,중소도시,2013,19470.0
153,고등학교,읍면지역,2013,3252.0
165,일반고,서울,2013,14438.0
166,일반고,광역시,2013,12664.0
167,일반고,중소도시,2013,18866.0
168,일반고,읍면지역,2013,3078.0
180,초등학교,서울,2014,16481.0
181,초등학교,광역시,2014,17682.0
182,초등학교,중소도시,2014,32902.0
183,초등학교,읍면지역,2014,8884.0
195,중학교,서울,2014,12012.0
196,중학교,광역시,2014,13544.0
197,중학교,중소도시,2014,24697.0
198,중학교,읍면지역,2014,5425.0
210,고등학교,서울,2014,14278.0
211,고등학교,광역시,2014,12492.0
212,고등학교,중소도시,2014,20224.0
213,고등학교,읍면지역,2014,3677.0
225,일반고,서울,2014,13609.0
226,일반고,광역시,2014,12066.0
227,일반고,중소도시,2014,19552.0
228,일반고,읍면지역,2014,3529.0
240,초등학교,서울,2015,16017.0
241,초등학교,광역시,2015,17616.0
242,초등학교,중소도시,2015,34845.0
243,초등학교,읍면지역,2015,6808.0
255,중학교,서울,2015,11222.0
256,중학교,광역시,2015,12574.0
257,중학교,중소도시,2015,23696.0
258,중학교,읍면지역,2015,4892.0
270,고등학교,서울,2015,14184.0
271,고등학교,광역시,2015,12269.0
272,고등학교,중소도시,2015,20344.0
